# -------------------------------------------------------
# App: truesculpt.main, date: 20111116-20120505
# -------------------------------------------------------

date,country,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120504,ZA,0,41,0,92,40,0,0,0
20120504,VN,0,3,0,11,3,0,0,0
20120504,VE,0,11,0,19,11,0,0,0
20120504,UZ,0,2,0,3,2,0,0,0
20120504,UY,0,1,0,4,1,0,0,0
20120504,US,29,1845,26,4916,1770,12,12,0
20120504,UA,0,23,0,64,22,0,0,0
20120504,TW,0,29,0,60,28,1,1,0
20120504,TT,0,1,0,1,1,0,0,0
20120504,TR,3,45,2,104,42,0,0,0
20120504,TN,0,4,0,8,4,0,0,0
20120504,TH,0,23,0,41,23,0,0,0
20120504,SZ,0,0,0,1,0,0,0,0
20120504,SV,0,0,0,2,0,0,0,0
20120504,SR,0,0,0,3,0,0,0,0
20120504,SK,0,14,0,36,14,1,1,0
20120504,SI,0,7,0,23,7,0,0,0
20120504,SG,2,27,2,106,27,2,2,0
20120504,SE,0,72,0,161,70,0,0,0
20120504,SA,2,28,2,79,28,0,0,0
20120504,RU,4,104,4,292,103,0,0,0
20120504,RS,0,13,0,35,13,1,1,0
20120504,RO,0,25,0,92,23,0,0,0
20120504,RE,0,3,0,6,3,0,0,0
20120504,QA,0,5,0,8,5,0,0,0
20120504,PY,0,2,0,5,2,0,0,0
20120504,PT,0,31,0,56,31,0,0,0
20120504,PR,0,9,0,16,8,0,0,0
20120504,PL,0,54,0,171,52,0,0,0
20120504,PK,1,4,1,10,4,0,0,0
20120504,PH,1,21,1,69,21,3,3,0
20120504,PF,0,0,0,1,0,0,0,0
20120504,PE,0,12,0,16,12,0,0,0
20120504,PA,0,5,0,9,5,0,0,0
20120504,OM,0,4,0,6,3,0,0,0
20120504,NZ,0,26,0,52,25,1,1,0
20120504,NP,1,2,0,3,2,0,0,0
20120504,NO,0,36,0,73,35,0,0,0
20120504,NL,1,75,1,185,73,0,0,0
20120504,NC,0,2,0,2,2,0,0,0
20120504,NA,0,0,0,1,0,0,0,0
20120504,MY,0,24,0,86,24,0,0,0
20120504,MX,1,47,1,114,46,1,1,0
20120504,MV,0,0,0,2,0,0,0,0
20120504,MU,0,2,0,2,2,0,0,0
20120504,MT,0,1,0,5,1,0,0,0
20120504,MQ,0,0,0,1,0,0,0,0
20120504,MO,0,3,0,3,3,0,0,0
20120504,MN,0,3,0,4,3,0,0,0
20120504,MK,0,1,0,6,1,0,0,0
20120504,MG,0,0,0,1,0,0,0,0
20120504,ME,0,1,0,3,1,0,0,0
20120504,MD,0,2,0,5,2,0,0,0
20120504,MA,0,6,0,20,6,0,0,0
