# -------------------------------------------------------
# App: truesculpt.main, date: 20111116-20120505
# -------------------------------------------------------

date,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20111223,61,1105,61,1843,1084,33,33,2
20111222,71,1074,69,1781,1053,30,30,0
20111221,85,1037,82,1708,1016,24,22,0
20111220,56,985,56,1626,963,26,26,0
20111219,64,958,62,1569,937,27,27,0
20111218,82,926,80,1511,905,31,31,0
20111217,90,878,90,1438,859,34,34,4
20111216,76,831,73,1353,814,25,25,0
20111215,79,778,78,1278,763,38,38,0
20111214,89,736,88,1202,722,28,28,0
20111213,119,682,115,1113,670,35,34,1
20111212,47,593,47,992,583,23,23,1
20111211,60,572,58,946,563,31,31,0
20111210,67,548,67,887,541,31,31,0
20111209,53,518,53,822,511,21,21,1
20111208,45,488,45,766,482,19,19,2
20111207,44,464,44,718,458,21,21,0
20111206,43,443,43,675,437,15,15,1
20111205,42,417,42,633,411,19,19,0
20111204,49,397,49,591,391,11,11,1
20111203,61,359,61,544,354,19,19,2
20111202,59,320,58,484,315,16,16,5
20111201,37,281,36,426,276,8,7,4
20111130,39,253,38,389,248,9,9,3
20111129,33,225,32,350,221,9,9,5
20111128,32,202,32,320,199,6,6,3
20111127,36,177,35,287,175,8,7,7
20111126,0,155,0,0,0,0,0,0
20111125,0,127,0,0,0,0,0,0
20111124,0,117,0,0,0,0,0,0
20111123,0,87,0,0,0,0,0,0
20111122,0,67,0,0,0,0,0,0
20111121,0,54,0,0,0,0,0,0
20111120,0,43,0,0,0,0,0,0
20111119,0,28,0,0,0,0,0,0
20111118,0,16,0,0,0,0,0,0
20111117,0,16,0,0,0,0,0,0
20111116,0,16,0,0,0,0,0,0
