# -------------------------------------------------------
# App: truesculpt.main, date: 20111116-20120505
# -------------------------------------------------------

date,language,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120505,en_AU,2,76,2,165,72,0,0,0
20120505,en_AM,0,0,0,1,0,0,0,0
20120505,en_AE,0,1,0,2,1,0,0,0
20120505,en,0,4,0,10,4,0,0,0
20120505,el_GR,0,12,0,41,12,0,0,0
20120505,de_GB,0,0,0,1,0,0,0,0
20120505,de_DE,8,257,8,578,253,2,2,0
20120505,de_CH,1,14,1,33,12,1,1,0
20120505,de_AT,0,20,0,49,19,0,0,0
20120505,de,0,0,0,2,0,0,0,0
20120505,da_DK,0,22,0,50,20,0,0,0
20120505,cs_CZ,1,18,1,55,17,1,1,0
20120505,ca_ES,0,1,0,3,1,0,0,0
20120505,bg_BG,0,1,0,5,1,0,0,0
20120505,ar_SA,0,0,0,1,0,0,0,0
20120505,ar_QA,0,1,0,1,1,0,0,0
20120505,ar_EG,0,0,0,4,0,0,0,0
20120505,ar_AE,0,21,0,58,19,1,1,0
20120505,,0,1,0,3,1,0,0,0
20120504,zh_TW,0,39,0,70,39,1,1,0
20120504,zh_HK,0,7,0,16,7,0,0,0
20120504,zh_CN,0,14,0,42,14,0,0,0
20120504,vi_VN,0,1,0,5,1,0,0,0
20120504,unknown,0,0,0,14,0,0,0,0
20120504,uk_UA,0,2,0,6,2,0,0,0
20120504,tr_TR,2,32,2,82,29,0,0,0
20120504,th_TH,0,15,0,27,15,0,0,0
20120504,sv_SE,0,51,0,120,49,0,0,0
20120504,sv_GB,0,1,0,1,1,0,0,0
20120504,sv,0,0,0,1,0,0,0,0
20120504,sr_RS,0,2,0,9,2,0,0,0
20120504,sr_CS,0,0,0,2,0,0,0,0
20120504,sl_SL,0,0,0,1,0,0,0,0
20120504,sl_SI,0,4,0,15,4,0,0,0
20120504,sl,0,0,0,1,0,0,0,0
20120504,sk_SK,0,10,0,27,10,1,1,0
20120504,sk,0,0,0,1,0,0,0,0
20120504,ru_UA,0,4,0,10,4,0,0,0
20120504,ru_SK,0,1,0,1,1,0,0,0
20120504,ru_RU,4,130,4,364,129,0,0,0
20120504,ru_PL,0,1,0,1,1,0,0,0
20120504,ru_CZ,0,1,0,1,1,0,0,0
20120504,ru,0,1,0,3,1,0,0,0
20120504,ro_RO,0,11,0,37,11,0,0,0
20120504,pt_PT,0,30,0,59,30,0,0,0
