# -------------------------------------------------------
# App: truesculpt.main, date: 20111116-20120505
# -------------------------------------------------------

date,os_version,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120426,Android 3.2,9,674,9,1205,643,3,3,0
20120426,Android 3.1,1,234,1,409,225,0,0,0
20120426,Android 3.0,0,24,0,39,24,0,0,0
20120426,Android 2.3.3+,43,2578,38,6853,2497,21,21,0
20120426,0,0,1,0,17,1,0,0,0
20120425,Android 2.3,0,46,0,147,44,0,0,0
20120425,Android 2.2,6,471,6,1695,462,7,7,0
20120425,Android 2.1,3,20,3,304,19,3,3,0
20120425,Android 1.6,0,0,0,1,0,0,0,0
20120425,Android 4.0.3 - 4.0.4,11,678,9,1209,646,6,6,0
20120425,Android 4.0 - 4.0.2,1,67,1,117,66,0,0,0
20120425,Android 3.2,10,673,9,1208,640,7,7,0
20120425,Android 3.1,1,232,1,408,223,2,2,0
20120425,Android 3.0,0,24,0,39,24,0,0,0
20120425,Android 2.3.3+,43,2566,42,6822,2485,34,34,0
20120425,0,0,1,0,16,1,0,0,0
20120424,Android 2.3,0,47,0,147,45,1,1,0
20120424,Android 2.2,5,474,5,1692,465,5,4,0
20120424,Android 2.1,0,20,0,301,19,0,0,0
20120424,Android 1.6,0,0,0,1,0,0,0,0
20120424,Android 4.0.3 - 4.0.4,8,662,4,1165,630,3,3,0
20120424,Android 4.0 - 4.0.2,1,69,0,123,68,2,1,0
20120424,Android 3.2,4,683,3,1217,650,1,1,0
20120424,Android 3.1,1,234,1,407,225,1,1,0
20120424,Android 3.0,0,24,0,39,24,0,0,0
20120424,Android 2.3.3+,44,2558,41,6784,2476,31,31,0
20120424,0,0,1,0,17,1,0,0,0
20120423,Android 2.3,0,47,0,147,45,2,2,0
20120423,Android 2.2,5,474,4,1689,464,3,3,0
20120423,Android 2.1,2,20,2,301,19,3,3,0
20120423,Android 1.6,0,0,0,1,0,0,0,0
20120423,Android 4.0.3 - 4.0.4,13,647,9,1136,613,5,5,0
